Глубина манометра,Dшт,Рзаб,Pлин,Руст.1,Рлин,Туст,Тна шлейфе,Тзаб,Tлин,Дебит газа,Дебит ст. конд.,Дебит воды,Дебит смеси,Дебит кон нестабильный,Нэф,Рпл. Тек (Карноухов),Pсб,Ro_c,Удельная плотность газа ,КГФ
"3277,8","14,3","345,9","105,8","239,127",104,"53,5","43,09","106,7",54,"648,097",158,"1,8","681,6896","232,4","44,5","52,7","103,1",787,"0,672",192
3276,"7,5","370,0389",95,268,"95,4",56,"28,6","104,98","30,4","246,611","69,9","1,2","261,47294","114,7","44,5","45,6","94,3",785,"0,667",222
3276,"9,53","364,6788075","94,9",262,"94,9",62,"36,3","105,18","37,5","350,087","94,4","1,4","370,15784","154,5","44,5","45,6","93,5",785,"0,667",212
3276,"11,11","357,1199625",97,252,"96,9",66,"42,8","105,24","43,7","452,114","117,6","1,4","477,11716","196,7","44,5","45,6","95,3",785,"0,667",204
3276,"12,7","347,443425","95,7",238,"95,8",70,"47,5","105,23","47,9","562,202",142,"2,1","592,3933","235,7","44,5","45,6","94,2",785,"0,667",198
3276,"14,3","337,878345","99,8",220,"99,3",70,"51,8","105,16","52,1","653,254","154,7","2,3","686,14552","264,3","44,5","45,6","98,5",785,"0,667",186
3284,"7,94","335,2","88,7",241,89,51,27,"104,68","27,2","215,336","55,4","1,1","226,53898","93,1","44,5","41,6","89,7",782,"0,66",201
3284,"9,53","328,1","91,2",240,"91,4","59,1","34,9","104,84","35,7","312,61","72,7","1,9","325,42891","119,2","44,5","41,6","88,9",782,"0,66",182
3284,"11,11",318,98,228,"98,9","63,3","41,4","104,85","42,5","409,227","86,3","3,5","424,73861","143,9","44,5","41,6",91,782,"0,66",165
3284,"12,7","307,8","98,6",215,"97,2",65,"45,8","104,78","46,3","479,085","93,5","4,7","495,62985","156,8","44,5","41,6","94,4",782,"0,66",153
3284,"14,29","293,6","98,5",197,"98,4","66,9","49,8","104,63","50,5","568,497","106,6","6,4","587,36094","174,3","44,5","41,6",94,782,"0,66",147
"3288,6","7,94","309,1","92,6",230,"92,7",51,"43,09","104,4","28,1","215,803","50,5","0,448917016101109","224,858098917016","84,7","48,3747","52,077037037037","89,9","779,6","0,668",182
"3288,6","11,11","293,9","93,1",215,"93,3",60,"43,09","104,6","41,3","387,675",72,"1,5","403,7469",123,"48,3747","52,077037037037","90,8","779,6","0,668",145
"3289,8","9,53",271,"95,9459510586598",199,"94,637",56,"43,09","103,9","36,1615473793822","264,3","47,6",1,"274,9396",80,"48,4","52,077037037037",94,"772,6","0,671",139
